Sao Paulo;10434252;11244369;11451245
Guarulhos;1072717;1222357;1291784
Campinas;969396;1080999;1138309
Sao Bernardo do Campo;703177;765203;810729
Osasco;652593;666469;743432
Sorocaba;493468;586311;723574
Ribeirao Preto;504923;605114;698259
Sao Jose dos Campos;539313;627544;697428
Sao Jose do Rio Preto;358523;408435;480439
Mogi das Cruzes;330241;387241;449955
Jundiai;323397;370251;443116
Piracicaba;329158;364872;423323
Santos;417983;419757;418608
Maua;363392;417281;418261
Diadema;357064;386039;393237
Carapicuiba;344596;369908;387121
Bauru;316064;344039;379146
Itaquaquecetuba;272942;321854;369275
Franca;287737;318785;352537
Praia Grande;193582;260769;349935
Barueri;208281;240656;316473
Taubate;244165;278724;310739
Suzano;228690;262568;307364
Limeira;249046;276010;291869
Guaruja;264812;290607;287634
Sumare;196723;241437;279546
Cotia;148987;201023;273640
Taboao da Serra;197644;244719;273542
Indaiatuba;147050;201848;255739
Sao Carlos;192998;221936;254822
Araraquara;182471;208725;242228
Jacarei;191291;211308;240275
Marilia;197342;216684;237629
Americana;182593;210701;237247
Itapevi;162433;200874;232513
Presidente Prudente;189186;207625;225668
Aracatuba;169254;181618;200124
Santa Barbara d'Oeste;170078;180148;183347
Ferraz de Vasconcelos;142377;168290;179205
Braganca Paulista;125031;146663;176811
Itu;135366;154200;168240
Sao Caetano do Sul;140159;149571;165655
Pindamonhangaba;126026;147034;165428
Francisco Morato;133738;154538;165139
Atibaia;111300;126614;158640
Itapecerica da Serra;129685;152380;158522
Itapetininga;125559;144416;157790
Santana de Parnaiba;74828;108875;154105
Mogi Guacu;124228;137286;153661
Botucatu;108306;127370;145155
Franco da Rocha;108122;131603;144849
Caraguatatuba;78921;100899;134875
Salto;93159;105569;134319
Jau;112104;131068;133497
Araras;104196;118898;130866
Votorantim;95925;108872;127923
Valinhos;82973;106968;126325
Tatui;93430;107975;123942
Barretos;103913;112102;122485
Itatiba;81197;101450;122424
Birigui;94300;108722;118979
Jandira;91807;108436;118045
Guaratingueta;104219;112091;118044
Catanduva;105847;112843;115785
Varzea Paulista;92800;107146;115771
Ribeirao Pires;104508;113043;115559
Itanhaem;71995;87053;112476
Cubatao;108309;118797;112471
Paulinia;51326;82150;110537
Ourinhos;93868;103026;103970
Poa;95801;106033;103765
Assis;87251;95156;101409
Leme;80757;91804;98145
Votuporanga;75641;84728;96634
Cacapava;76130;84844;96202
Caieiras;71221;86623;95030
Mairipora;60111;80920;93617
Ubatuba;66861;78870;92980
Avare;76472;82935;92805
Cajamar;50761;64113;92689
Sao Joao da Boa Vista;77387;83661;92535
Aruja;59185;74818;86678
Lorena;77990;82553;84855
Sao Roque;66637;78873;79484
Matao;71753;76799;79033
Campo Limpo Paulista;63724;74114;77632
Vinhedo;47215;63685;76663
Bebedouro;74815;75044;76373
Cruzeiro;73492;77070;74961
Ibiuna;64384;71228;74957
Lins;65952;71493;74779
Pirassununga;64864;70138;73545
Itapira;63377;68365;72022
Jaboticabal;67408;71667;71821
Fernandopolis;61647;64707;71186
Itupeva;26166;44825;70616
Peruibe;51451;59793;68344
Mococa;65574;66303;67681
Embu-Guacu;56916;62846;66970
Tabatinga;12990;14686;66764
Lencois Paulista;55042;61454;66505
Monte Mor;37340;48971;64662
Bertioga;30039;47572;64188
Tupa;63333;63492;63928
Mirassol;48327;53809;63337
Nova Odessa;42071;51278;62019
Mongagua;35098;46310;61951
Penapolis;54635;58529;61679
Boituva;34368;48323;61081
Ibitinga;46620;53166;60037
